veh_id,lat,lon,alt,ts
A2044,42.691104,23.336721,544.3,1738074762143
A2044,42.690968,23.336892,543.3,1738074767137
A2044,42.690945,23.336921,543.8,1738074772137
A2044,42.690807,23.337092,544.6,1738074777138
A2044,42.69091694484146,23.33720718728929,545.8,1738074782137
A2044,42.690636,23.337067,545.8,1738074787137
A2044,42.690377,23.336621,546.5,1738074792139
A2044,42.690366,23.336602,544.9,1738074797137
A2044,42.69032190219744,23.336637842468463,546.2,1738074802137
A2044,42.690211,23.336355,548.4,1738074807137
A2044,42.69028,23.336126,548.7,1738074812138
A2044,42.69028,23.336126,548.3,1738074817137
A2044,42.688705,23.333982,545.8,1738074847137
A2044,42.688463,23.3336,548.1,1738074852139
A2044,42.687569,23.331707,549.2,1738074882140
A2044,42.687256,23.331728,551.2,1738074887137
A2044,42.687063,23.33142,553.9,1738074892138
A2044,42.687011,23.331336,553.7,1738074897138
A2044,42.686837,23.331059,553.0,1738074902137
A2044,42.686813,23.331021,552.4,1738074907139
A2044,42.686551,23.330576,552.3,1738074912140
A2044,42.686474,23.330382,554.1,1738074917137
A2044,42.685518,23.327468,559.8,1738074972141
A2044,42.685406,23.327121,559.0,1738074977137
A2044,42.685296,23.326785,556.5,1738074982137
A2044,42.685093,23.326164,555.7,1738074987138
A2044,42.684989,23.325842,553.7,1738074992138
A2044,42.684948,23.325715,556.0,1738074997137
A2044,42.684874,23.325488,553.6,1738075002141
A2044,42.684701,23.324957,553.4,1738075007138
A2044,42.684829,23.32535,554.7,1738075012139
A2044,42.684461,23.32422,559.4,1738075042137
A2044,42.683977,23.322732,559.7,1738075072138
A2044,42.68395,23.322649,559.5,1738075077138
A2044,42.683881,23.322437,560.2,1738075082137
A2044,42.683862,23.322379,558.0,1738075087138
A2044,42.683862,23.322379,559.2,1738075092137
A2044,42.68404207802929,23.322424348186857,559.7,1738075097137
A2044,42.68358320201804,23.322376358185195,559.6,1738075102137
A2044,42.68360632164277,23.322481140662177,559.9,1738075107137
A2044,42.683862,23.322379,559.2,1738075112137
A2044,42.683843,23.322321,559.3,1738075117137
A2044,42.68396745450589,23.32223523907729,558.6,1738075122137
A2044,42.683748,23.322032,558.6,1738075127137
A2044,42.682415,23.320689,564.4,1738075157137
A2317,42.69333070472114,23.33928227354764,549.4,1738075089972
A2317,42.693352466450406,23.339431405516315,551.9,1738075094968
A2317,42.69330776153122,23.340204045528026,552.8,1738075099968
A2317,42.69350924862214,23.34044877300774,554.5,1738075104969
A2317,42.693169217582586,23.341603172727595,554.4,1738075134975
A2317,42.69273225034296,23.342373622001897,553.8,1738075139968
A2317,42.692993123256734,23.342579752959352,551.9,1738075144968
A2317,42.69295374965649,23.34289005749457,550.1,1738075149969
A2317,42.69264231982494,23.343414542004787,545.9,1738075179969
A2317,42.65154199039222,23.35689923674795,591.0,1738073409968
A2317,42.65147557369237,23.35679947274946,592.6,1738073414968
A2317,42.65127547144638,23.356758571962946,592.5,1738073419968
A2317,42.65113087929578,23.357004551261856,592.6,1738073424968
A2317,42.65093096956125,23.35802136091207,598.8,1738073454975
A2317,42.65096020592901,23.358117320467063,598.8,1738073459969
A2317,42.651109,23.357952,598.4,1738073464974
A2317,42.651109,23.357952,598.4,1738073469968
A2317,42.651109,23.357952,598.4,1738073474969
A2317,42.651109,23.357952,598.5,1738073479969
A2317,42.651109,23.357952,598.5,1738073484968
A2317,42.651144,23.358067,598.5,1738073489968
A2317,42.651144,23.358067,598.5,1738073494974
A2317,42.651144,23.358067,598.5,1738073499968
A2317,42.651055,23.358477,598.5,1738073504969
A2317,42.651027,23.358575,598.5,1738073509969
A2317,42.651027,23.358575,598.5,1738073514975
A2317,42.651027,23.358575,598.9,1738073519969
A2317,42.651027,23.358575,598.3,1738073524968
A2317,42.651081,23.358784,594.2,1738073529969
A2317,42.651483,23.35917,595.5,1738073534968
A2317,42.651496,23.359181,594.8,1738073539969
A2317,42.651848,23.359462,592.2,1738073544975
A2317,42.652527,23.359709,590.4,1738073549969
A2317,42.652806,23.359758,589.5,1738073554968
A2317,42.652883,23.359767,590.3,1738073559969
A2317,42.653277,23.359815,588.5,1738073564968
A2317,42.653948,23.359657,593.7,1738073594968
A2317,42.65409697304776,23.35981628588069,594.0,1738073599968
A2317,42.654695,23.35944,596.1,1738073604975
A2317,42.654983,23.359371,598.5,1738073609968
A2317,42.65551,23.359253,598.3,1738073614968
A2317,42.656345,23.35918,596.8,1738073619969
A2317,42.656546,23.35917,595.5,1738073624970
A2317,42.657121,23.359141,592.3,1738073629968
A2317,42.657262,23.359206,595.0,1738073634975
A2317,42.65779,23.359113,594.8,1738073639971
A2317,42.65779,23.359113,592.2,1738073644974
A2317,42.65742,23.359137,589.5,1738073649969
A2317,42.65746582691787,23.35913709330044,589.7,1738073654970
A2317,42.659501,23.358997,591.4,1738073684969
A2317,42.660239,23.358981,588.6,1738073689969
A2317,42.662056,23.358781,584.9,1738073719970
A2317,42.662056,23.358781,584.7,1738073724968
A2317,42.662056,23.358781,584.1,1738073729968
A2317,42.662182,23.358729,584.1,1738073734968
A2317,42.662552,23.358487,584.2,1738073739969
A2317,42.662691,23.358361,583.6,1738073744969
A2317,42.662917,23.358111,584.8,1738073749968
A2317,42.662917,23.358111,583.8,1738073754969
A2317,42.662917,23.358111,582.9,1738073759972
A2317,42.662953,23.358521,582.3,1738073764975
A2317,42.662994,23.358232,582.2,1738073769968
A2317,42.662917,23.358111,582.2,1738073774969
A2317,42.66274882070883,23.358449803486124,582.2,1738073779968
A2317,42.662917,23.358111,582.2,1738073784968
A2317,42.662712662533714,23.358283103085345,582.2,1738073789969
A2317,42.662917,23.358111,582.2,1738073794975
A2317,42.66271502958379,23.35842676396232,581.8,1738073799968
A2317,42.663432,23.358008,582.9,1738073804970
A2317,42.663983,23.359373,575.9,1738073834969
A2317,42.664166,23.359841,576.3,1738073839970
A2317,42.664356,23.360313,577.3,1738073844968
A2317,42.664568120470655,23.36028796093251,577.9,1738073849971
A2317,42.664552,23.360372,578.7,1738073854978
A2317,42.664552,23.360372,575.3,1738073859969
A2317,42.6645,23.360627,575.2,1738073864968
A2317,42.664529,23.360691,574.2,1738073869969
A2317,42.664671,23.361001,574.5,1738073874968
A2317,42.66485,23.36139,574.2,1738073879969
A2317,42.66514,23.362021,573.8,1738073884975
A2317,42.665277,23.36232,569.5,1738073889969
A2317,42.665311902076986,23.36208454016904,570.1,1738073894969
A2317,42.664921,23.36228,571.3,1738073899968
A2317,42.66508354962127,23.362175799589515,572.5,1738073904976
A2317,42.665025,23.362436,572.7,1738073909976
A2317,42.66524172837824,23.36224143370336,572.8,1738073914975
A2317,42.665558,23.362877,572.4,1738073944974
A2317,42.665884,23.363469,573.0,1738073949969
A2317,42.666126,23.363851,570.9,1738073954969
A2317,42.666499,23.364427,570.7,1738073959968
A2317,42.667037,23.365045,569.9,1738073989968
A2317,42.666868,23.364786,569.9,1738073994968
A2317,42.667705,23.366861,562.6,1738074024978
A2317,42.670486,23.365895,560.8,1738074119968
A2317,42.670897,23.365306,563.9,1738074124969
A2317,42.671238,23.364816,565.1,1738074129969
A2317,42.671381,23.364612,567.2,1738074134970
A2317,42.671381,23.364612,563.9,1738074139970
A2317,42.671652,23.364226,565.4,1738074144969
A2317,42.671744,23.364095,566.6,1738074149973
A2317,42.67172706636305,23.363981957542265,566.9,1738074154968
